Domain,Experiment Name,Count,Sum Total Landmarks,Sum Individual LMs,Sum Disjunctions,Sum Overall
Factories-simple,lmc,20,871.0,68.0,803.0,22423.0
Factories-simple,lmc-BD,20,883.0,72.0,811.0,22593.0
Factories-simple,lmc-GZD,20,875.0,48.0,827.0,29756.0
Factories-simple,lmc-BDpGZD,20,862.0,42.0,820.0,29803.0
Factories-simple,lmc-VDM,20,1066.0,124.0,942.0,24411.0
Freecell-Learned-ECAI-16,lmc,60,757.0,68.0,689.0,315866.0
Freecell-Learned-ECAI-16,lmc-BD,60,779.0,60.0,719.0,29958.0
Freecell-Learned-ECAI-16,lmc-GZD,60,746.0,65.0,681.0,271589.0
Freecell-Learned-ECAI-16,lmc-BDpGZD,60,778.0,60.0,718.0,31312.0
Freecell-Learned-ECAI-16,lmc-VDM,60,757.0,66.0,691.0,308735.0
Hiking,,1,0,0,0,0

Total,lmc,80,1628.0,136.0,1492.0,338289.0
Total,lmc-BD,80,1662.0,132.0,1530.0,52551.0
Total,lmc-GZD,80,1621.0,113.0,1508.0,301345.0
Total,lmc-BDpGZD,80,1640.0,102.0,1538.0,61115.0
Total,lmc-VDM,80,1823.0,190.0,1633.0,333146.0
Total,,1,0,0,0,0
